| Date                       | Person/Event                | Description |
|----------------------------|-----------------------------|-------------|
| 1 May 1917 - 3 December 2012 | Fyodor Savelyevich Khitruk  | Director-animator, legend of Soviet animation. Creator of many beloved cartoon characters, including Winnie the Pooh |
| 1 May                       | International Workers' Day  | Celebrated in many countries around the world as International Workers' Day |
| 2 May 1729 - 17 November 1796 | Catherine II                | Empress and autocrat of all Russia (1762-1796). Came to power through a palace coup. Politician of enlightened absolutism |
| 3 May                       | World Sun Day               | The sun is a powerful source of cosmic energy for the Earth, providing the light and heat necessary for plant and animal life, and shaping the Earth's atmosphere |
| 5 May 1846 - 15 November 1916 | Henryk Sienkiewicz          | Polish writer, Nobel laureate. Known for his novels: "With Fire and Sword", "The Deluge", "Sir Michael", "The Crusaders" |
| 5 May 1869 - 20 April 1933   | Boris Lvovich Rosing        | Soviet engineer-physicist, pioneer in television experiments. In 1907, he received a patent for the method of "electric transmission of images", securing his priority |
| 5 May 1818 - 14 March 1883   | Karl Heinrich Marx          | German philosopher, economist, and founder of scientific communism. Influenced the entire political history of the 20th century |
| 4 May                       | International Firefighters' Day | Celebrates the role of firefighters in society for their dedication, commitment, and sacrifice, regardless of the country they live and work in |
| 7 May 1840 - 25 October 1893 | Pyotr Ilyich Tchaikovsky    | Russian composer, one of the best melodists, pedagogue, conductor. Known for ballets: "Swan Lake", "The Nutcracker", "The Sleeping Beauty" |
| 6 May 1856 - 23 September 1939 | Sigmund Schlomo Freud      | Austrian psychologist, psychoanalyst, psychiatrist, and neurologist. Best known as the founder of psychoanalysis, which significantly influenced psychology, medicine, and sociology |
| 9 May 1924 - 12 June 1997    | Bulat Shalvovich Okudzhava  | Soviet and Russian poet, prose writer, screenwriter, bard, composer. Laureate of the USSR State Prize, member of the USSR Writers' Union and the CPSU party |
| 9 May                       | Victory Day                 | Celebrates the victory of the Red Army and the Soviet people over Nazi Germany in the Great Patriotic War (1941-1945) |
