| Date                   | Person/Event                | Description |
|------------------------|-----------------------------|-------------|
| 1 February 1857 - 24 December 1927  | Vladimir Bekhterev       | Russian and Soviet psychiatrist, neurologist, physiologist, psychologist. Founder of reflexology and pathological psychology in Russia. In 1907 founded the Psychoneurological Institute in Saint Petersburg. |
| 2 February 1883 - 5 May 1957        | Mikhail Gnesin           | Soviet composer, teacher. Author of about 50 romances, music for plays and films. Authored the "Elementary Course of Practical Composition". |
| 2 February 1885 - 31 October 1925   | Mikhail Frunze           | Soviet statesman and military leader. The capital of Kyrgyzstan (now Bishkek), a peak in the Pamirs, ships, a military academy, streets in cities and villages were named after him in Soviet times. |
| 1 February 1941 - 24 July 2000      | Anatoly Firsov           | Soviet hockey player, coach, Olympic champion. One of the best forwards in hockey history. |
| 2 February 1904 - 15 December 1938  | Valery Chkalov           | Pilot, Hero of the Soviet Union. In 1937 made a nonstop flight from Moscow to the USA via the North Pole, setting a world record for nonstop flight at that time. |
| 4 February 1873 - 16 January 1954   | Mikhail Prishvin         | Writer, prose writer, and publicist. In his work, he explored important questions of human existence, pondering the meaning of life, religion, and the connection between man and nature. |
| 5 February 1840 - 24 November 1916  | Hiram Stevens Maxim      | American-British inventor and gunsmith. Creator of one of the most famous machine guns — the Maxim gun. |
| 3 February 1809 - 4 November 1847   | Jakob Ludwig Felix Mendelssohn | German composer, pianist, conductor, teacher. One of the greatest representatives of Romanticism in music. |
| 5 February 1840 - 23 October 1921   | John Boyd Dunlop         | British veterinarian and inventor. Known for independently recreating the pneumatic tire and as one of the founders of Dunlop Tyres. |
| 5 February 1880 - 25 December 1973  | Gabriel Voisin           | French aviation pioneer, airplane and car designer, entrepreneur. |
| 5 February 1812 - 2 November 1895   | Georges-Charles de Heeckeren d'Anthes | French officer and politician. Known for mortally wounding the great Russian poet A.S. Pushkin in a duel. |
| 5 February 1878 - 3 July 1935       | André Citroën            | French industrialist. Founder of Citroën and the car brand of the same name. |
| 6 February 1929 - 4 May 2008        | Colin Murdoch            | New Zealand pharmacist. Invented and patented the disposable plastic syringe in 1956. |
| 7 February 1906 - 4 April 1984      | Oleg Antonov             | Soviet aircraft designer, Doctor of Technical Sciences, Professor. Under his leadership, many "An" aircraft for various purposes were designed. |
| 7 February 1812 - 9 June 1870       | Charles Dickens          | English writer, stenographer, reporter, novelist, and essayist. He opened up and poetized the world of slums and their morals for literature. |
| 8 February 1816                   | Day of the First Police Operation with a Service Dog | During the arrest of a criminal gang in Aberdeen County, England, a service dog worked with local law enforcement for the first time. |
| 8 February 1828 - 24 March 1905     | Jules Verne              | French writer, a classic of adventure literature. One of the founders of the science fiction genre. |
| 9 February 1969                   | First Flight of the Boeing 747 | The first wide-body long-haul passenger airliner. |
| 8 February 1834 - 2 February 1907   | Dmitri Mendeleev         | Russian scientist, encyclopedist, chemist, physicist, metrologist, economist, technologist, geologist, meteorologist, oilman, teacher, balloonist. Discovered the periodic law of chemical elements. |
| 9 February 1846 - 29 December 1929  | Wilhelm Maybach          | Pioneer in automotive engineering. Co-founder of Daimler-Motoren-Gesellschaft, creator of the first car under the Mercedes brand. |
| 9 February 1887 - 5 September 1919  | Vasily Chapayev          | Legendary Soviet military leader, hero of the Civil War. |
| 10 February 1890 - 30 May 1960      | Boris Pasternak          | Russian poet, writer, and translator. One of the greatest Russian poets of the 20th century. Nobel laureate. |
| 28 September 1887 - 26 February 1973 | Beulah Louise Henry      | American self-taught inventor. Author of about 110 inventions: a freezer for ice cream, a can opener, a valve for inflatable items, a doll with eyes that could change color, and toys that could open and close eyes. |
| 10 February 1911 - 24 June 1978     | Mstislav Keldysh         | Soviet mathematician, mechanic, and academician. Major organizer of Soviet science, one of the ideologists of the Soviet space program. |
| 12 February 1809 - 15 April 1865    | Abraham Lincoln          | Sixteenth President of the USA (1861-1865). National hero who abolished slavery in the USA. |
| 12 February 1809 - 19 April 1882    | Charles Robert Darwin    | English naturalist and traveler. Author of the modern theory of evolution. |
| 12 February 1910 - 19 November 1987 | Lee Byung-chul           | Korean businessman. Founder of the Samsung Group. |
| 13 February 1946                   | World Radio Day          | On this day, the UN Radio station first aired, located at the United Nations Headquarters. |
| 13 February 1769 - 21 November 1844 | Ivan Krylov              | Russian poet and fabulist. Best known as the author of 236 fables collected in nine lifetime editions. |
| 13 February 1873 - 12 April 1938    | Fyodor Chaliapin         | Russian opera and chamber singer (bass). Greatly influenced the world of opera art. |
| 13 February 1883 - 29 May 1922      | Yevgeny Vakhtangov       | Russian and Soviet theater director, actor, and teacher. Founder of the theater that bears his name. |
| 14 February                        | International Book Giving Day | A day that unites those who give books to children and instills in them a love for reading. |
