| Дата                         | Человек/Событие                  | Описание |
|------------------------------|----------------------------------|-------------|
| 1 апреля 1809 - 4 марта 1852 | Николай Васильевич Гоголь        | Русский писатель, классик мировой литературы, основатель литературного направления - основного этапа "натуральной школы". Оказал большое влияние на русскую и мировую литературу |
| 1 апреля 1578 - 3 июня 1657  | Уильям Гарвей                    | Известный врач, внес огромный вклад в создание и развитие физиологии и эмбриологии, создавший современное учение о системе кровообращения в организме человека |
| 1 апреля 1873 - 28 марта 1943 | Сергей Васильевич Рахманинов    | Русский композитор, пианист и дирижер, синтезировал в своем творчестве принципы петербургской и московской композиторских школ и создал свой оригинальный стиль |
| 1 апреля                    | Международный день птиц          | Его цель — сохранение видового разнообразия и численности птиц |
| 2 апреля 1805 - 4 августа 1875 | Ханс Кристиан Андерсен          | Датский поэт и прозаик, писатель-сказочник. Андерсен написал 3342 произведения, его работы переведены на примерно 125 языков и представляют собой незыблемые уроки добродетели и жизненной стойкости |
| 3 апреля 1862 - 31 мая 1945  | Леонид Осипович Пастернак       | Русский живописец и график, мастер жанровых композиций и книжной иллюстрации; педагог |
| 2 апреля                    | Международный день детской книги | Его празднование установлено в 1967 году по инициативе и решению Международного совета по детской книге |
| 4 апреля 1823 - 19 ноября 1883 | Карл Вильгельм Сименс          | Немецкий и британский инженер, металлург и изобретатель, создатель регенеративной печи. Это изобретение привело в дальнейшем к созданию мартеновской печи |
| 5 апреля 1827 - 10 февраля 1912 | Джозеф Листер                 | Крупнейший английский хирург и ученый, создатель хирургической антисептики. В честь Джозефа Листера назван род бактерий листерия |
| 6 апреля                    | Международный день спорта        | Установлен 6 апреля 2013 года по решению Генеральной Ассамблеи ООН |
| 6 апреля 1810 - 23 августа 1888 | Филип Генри Госсе             | Английский натуралист, изобретатель. В 1853 году в лондонском Риджент-парке по его проекту был открыт первый в мире аквариум |
| 6 апреля 1836 - 13 декабря 1904 | Николай Васильевич Склифосовский | Русский врач, хирург, разрабатывал методики хирургического обеззараживания, горячую обработку инструментов и медицинской одежды |
| 7 апреля                    | Всемирный день здоровья          | Отмечается ежегодно с 1948 года |
| 7 апреля 1954              | Джеки Чан                      | Китайский и американский актер-каскадер, кинорежиссер, продюсер. Один из самых популярных героев боевиков в мире, он известен своим акробатическим боевым стилем, комедийным даром, а также использованием всевозможных "подручных средств" в боях |
| 8 апреля 1692 - 26 февраля 1770 | Джузеппе Тартини              | Итальянский скрипач, виртуоз. Усовершенствовал конструкцию смычка и выработал основные приемы его ведения |
| 9 апреля 1336 - 18 февраля 1405 | Тамерлан                     | Основатель империи Тимуридов. Один из великих мировых завоевателей, сыгравший заметную роль в истории Средней Азии и Кавказа. Выдающийся полководец, эмир, создатель крупной державы со столицей в Самарканде |
| 10 апреля                   | День братьев и сестер            | Брат и сестра — самые близкие в этом мире люди по отношению друг к другу |
