| Дата                         | Человек/Событие                  | Описание |
|------------------------------|----------------------------------|-------------|
| 1 февраля 1894 - 29 августа 1983 | Джон Форд                       | Американский кинорежиссер, сценарист и продюсер, лауреат четырех премий «Оскар» за лучшую режиссуру |
| 2 февраля 1882 - 13 января 1941  | Джеймс Джойс                    | Ирландский писатель, поэт и драматург, один из самых влиятельных авторов XX века |
| 3 февраля 1898 - 1 декабря 1986  | Алоис Музиль                    | Немецкий химик и лауреат Нобелевской премии по химии 1950 года за открытие синтеза полимеров |
| 4 февраля 1902 - 2 июля 1977     | Чарльз Линдберг                 | Американский летчик и изобретатель, первым пересек Атлантический океан в одиночном беспосадочном перелете |
| 4 февраля 1913 - 24 октября 2005 | Роза Паркс                      | Американская активистка, сыграла ключевую роль в движении за гражданские права в США |
| 5 февраля 1914 - 15 апреля 1980  | Уильям Берроуз                  | Американский писатель и эссеист, представитель бит-поколения, автор романа «Обед нагишом» |
| 6 февраля 1911 - 5 июня 2004     | Рональд Рейган                  | 40-й президент США (1981-1989), актер и политический деятель |
| 7 февраля 1812 - 9 июня 1870     | Чарльз Диккенс                  | Английский писатель, автор классических произведений «Приключения Оливера Твиста», «Дэвид Копперфильд», «Большие надежды» |
| 8 февраля 1828 - 8 октября 1910  | Жюль Верн                       | Французский писатель, автор приключенческих романов, таких как «20 000 лье под водой», «Вокруг света за 80 дней» |
| 9 февраля 1846 - 22 января 1910  | Вильгельм Майбах                | Немецкий инженер, разработчик первого двигателя внутреннего сгорания и основатель компании Maybach |
| 10 февраля 1898 - 14 января 1986 | Бертольд Брехт                  | Немецкий драматург, поэт и режиссер, один из крупнейших театральных деятелей XX века |
| 11 февраля 1847 - 18 октября 1931 | Томас Эдисон                    | Американский изобретатель и предприниматель, известный разработкой электрической лампы накаливания, фонографа и кинокамеры |
| 12 февраля 1809 - 19 апреля 1882 | Чарльз Дарвин                   | Английский натуралист, автор теории эволюции путем естественного отбора |
| 12 февраля 1809 - 15 апреля 1865 | Авраам Линкольн                 | 16-й президент США, руководил страной в период Гражданской войны и подписал Прокламацию об освобождении рабов |
| 13 февраля 1910 - 17 июня 1999   | Уильям Шокли                    | Американский физик, один из изобретателей транзистора, лауреат Нобелевской премии по физике 1956 года |
| 14 февраля 1847 - 22 октября 1931 | Александр Грэм Белл             | Шотландский и американский ученый, изобретатель телефона |
| 15 февраля 1564 - 8 января 1642  | Галилео Галилей                 | Итальянский ученый, физик, астроном и философ, внес значительный вклад в развитие науки, открыв фазы Венеры и спутники Юпитера |
| 16 февраля 1903 - 22 сентября 1989 | Эдвин Хаббл                     | Американский астроном, который доказал расширение Вселенной и открыл закон Хаббла |
| 17 февраля 1836 - 20 сентября 1907 | Густав Леви                     | Немецкий физик, разработал математическую теорию электромагнетизма |
| 18 февраля 1745 - 17 апреля 1827  | Алессандро Вольта               | Итальянский физик, изобретатель электрической батареи |
| 19 февраля 1473 - 24 мая 1543     | Николай Коперник                | Польский астроном, разработавший гелиоцентрическую модель Солнечной системы |
| 20 февраля 1902 - 11 августа 1989 | Ансель Адамс                    | Американский фотограф и защитник окружающей среды, известный своими черно-белыми фотографиями американских пейзажей |
| 21 февраля 1903 - 9 декабря 1992  | Анаис Нин                       | Франко-американская писательница, известная своими дневниками и эротическими романами |
| 22 февраля 1857 - 6 января 1919   | Роберт Баден-Пауэлл             | Британский генерал-лейтенант, основатель скаутского движения |
| 23 февраля 1685 - 14 апреля 1759  | Георг Фридрих Гендель           | Немецкий и английский композитор, один из величайших мастеров барочной музыки |
| 24 февраля 1885 - 6 апреля 1970   | Честер Нимиц                    | Американский адмирал, главнокомандующий Тихоокеанским флотом США в годы Второй мировой войны |
| 25 февраля 1841 - 3 декабря 1919  | Пьер Огюст Ренуар               | Французский художник, один из ведущих представителей импрессионизма |
| 26 февраля 1802 - 22 мая 1885     | Виктор Гюго                     | Французский писатель, драматург и поэт, автор романов «Отверженные» и «Собор Парижской Богоматери» |
| 27 февраля 1861 - 8 февраля 1947  | Рудольф Штейнер                 | Австрийский философ, педагог и основатель антропософии |
| 28 февраля 1901 - 10 августа 1983 | Лайнус Полинг                   | Американский химик, лауреат Нобелевской премии по химии и Нобелевской премии мира |
| 29 февраля 1792 - 17 августа 1829  | Джоаккино Россини               | Итальянский композитор, автор многочисленных опер, таких как «Севильский цирюльник» и «Вильгельм Телль» |
