| Дата                  | Личность/Событие          | Описание |
|-----------------------|---------------------------|----------|
| 1 ЯНВАРЯ 2023 ГОДА    | С НОВЫМ ГОДОМ!            | Первый день года |
| 2 ЯНВАРЯ 1839 ГОДА    | ПЕРВАЯ ФОТОСЪЕМКА ЛУНЫ    | Первую фотосъемку Луны произвел Луи Дагер |
| 3 января 106 - 7 декабря 43 г. | ЦИЦЕРОН МАРК ТУЛЛИЙ | Римский государственный и политический деятель, оратор, философ, учёный |
| 4 января 1643 - 31 марта 1727 г. | НЬЮТОН ИСААК     | Английский физик, математик, механик и астроном |
| 4 января 1934 г.     | ЦЕРЕТЕЛИ ЗУРАБ КОНСТАНТИНОВИЧ | Художник-монументалист, скульптор, живописец, педагог |
| 5 января 1592 - 22 января 1666 г. | ШАХ ДЖАХАН       | Государственный деятель, падишах Империи Бабуридов, обессмертил своё имя постройкой Тадж-Махала своей жене Мумтаз-Махал |
| 6 января 1412 - 30 мая 1431 г. | Д’АРК ЖАННА      | Национальная героиня Франции, одна из командующих французскими войсками в Столетней войне |
| 7 ЯНВАРЯ             | РОЖДЕСТВО ХРИСТОВО        | Один из главных христианских праздников, установленный в честь рождения во плоти Иисуса Христа от Девы Марии |
| 8 января 1935 - 16 августа 1977 г. | ПРЕСЛИ ЭЛВИС АРОН | Американский певец и актёр, один из создателей рок-н-ролла, известен как «король рок-н-ролла» |
| 9 января 1797 - 6 июня 1870 г. | ВРАНГЕЛЬ ФЕРДИНАНД ПЕТРОВИЧ | Военный и государственный деятель, мореплаватель и полярный исследователь, адмирал |
| 10 января 1883 - 23 февраля 1945 г. | ТОЛСТОЙ АЛЕКСЕЙ НИКОЛАЕВИЧ | Русский и советский писатель и общественный деятель |
| 11 ЯНВАРЯ            | МЕЖДУНАРОДНЫЙ ДЕНЬ «СПАСИБО» | Этот день можно без преувеличения назвать одной из самых «вежливых» дат в году |
| 12 января 1876 - 22 ноября 1916 г. | ЛОНДОН ДЖЕК      | Американский писатель и журналист, наиболее известен как автор приключенческих рассказов и романов: «Белый Клык», «Зов предков», «Морской волк» |
| 12 января 1907 - 14 января 1966 г. | КОРОЛЁВ СЕРГЕЙ ПАВЛОВИЧ | Генеральный конструктор ракетно-космической промышленности СССР, один из основных создателей советской ракетно-космической техники и ключевая фигура в освоении человеком космоса |
