| Дата                        | Человек/Событие                  | Описание |
|-----------------------------|----------------------------------|-------------|
| 1 июня                     | Всемирный день родителей         | Праздник, провозглашенный в сентябре 2012 года с целью напомнить жителям планеты об общечеловеческих ценностях, защитить и утвердить эти ценности как основу прочной и нравственной семьи |
| 1 июня                     | Международный день детей         | Один из самых старых международных праздников, решение о его проведении было принято в 1925 году на Всемирной конференции в Женеве, посвященной вопросам благополучия детей |
| 3 июня 1876 - 11 ноября 1946 | Николай Нилович Бурденко         | Русский и советский хирург, основоположник российской нейрохирургии |
| 3 июня 1785                 | День рождения парашюта           | Франсуа Бланшар продемонстрировал сконструированный им парашют для прыжков с воздушного шара |
| 3 июня                     | Всемирный день велосипеда        | Его использование способствует бережному отношению к окружающей среде, поддержанию здоровья и развитию спорта |
| 5 июня 1718 - 13 ноября 1779 | Томас Чиппендейл                 | Считается самым знаменитым дизайнером, его имя стало синонимом высочайшей марки британского мебельного дизайна этого времени |
| 5 июня                     | День эколога                     | Всемирный день окружающей среды, празднование которого направлено на пробуждение в каждом человеке желания способствовать охране окружающей среды |
| 9 июня 1781 - 12 августа 1848 | Джордж Стефенсон                 | Английский инженер-механик, изобретатель паровоза, считается одним из "отцов" железных дорог |
| 10 июня 1936               | Основание киностудии "Союзмультфильм" | За время существования студии создано более полутора тысяч мультфильмов в самых разных жанрах и художественных техниках |
| 11 июня 1910 - 25 июня 1997 | Жак-Ив Кусто                     | Знаменитый исследователь мирового океана, путешественник, фотограф, режиссер, изобретатель, автор множества книг, фильмов и телепередач, страстный борец за сохранение океанской фауны |
| 13 июня                   | День швейной машинки             | Прототипы первых швейных машинок появились в виде идей в 15 веке, принадлежат они Леонардо да Винчи |
| 14 июня 1736 - 23 августа 1806 | Шарль Огюстен де Кулон           | Военный инженер и физик, его именем названа единица электрического заряда и закон взаимодействия электрических зарядов |
| 15 июня 1921 - 24 июля 1992  | Гавриил Абрамович Илизаров       | Советский хирург-ортопед, изобретатель, специалист в области травматологии, доктор медицинских наук, профессор, ученый |
| 16 июня 1963               | Первый в мире космический полет женщины-космонавта | Валентина Терешкова на космическом корабле "Восток-6" |
| 20 июня 1932 - 19 августа 1994 | Роберт Иванович Рождественский   | Советский поэт, переводчик, автор песен, один из ярких представителей эпохи "шестидесятников", лауреат Премии Ленинского комсомола и Государственной премии СССР |
| 23 июня 1889 - 5 марта 1966  | Анна Андреевна Ахматова          | Русская и советская поэтесса, одна из наиболее значимых фигур русской литературы XX века, номинировалась на Нобелевскую премию по литературе |
| 23 июня                    | Международный Олимпийский день   | Игры I Олимпиады современности прошли в 1896 году в Греции, когда среди 241 атлета из 14 стран были разыграны медали в 9 видах спорта |
| 25 июня 1852 - 10 июня 1926  | Антонио Гауди                    | Испанский архитектор, создал более 20 архитектурных шедевров, многие из которых включены в перечень "Всемирного наследия ЮНЕСКО" |
| 27 июня                    | Всемирный день рыболовства       | Праздник установлен решением Международной конференции по регулированию и развитию рыболовства, состоявшейся в июле 1984 года в Риме |
| 28 июня 1712 - 2 июля 1778   | Жан-Жак Руссо                    | Французский философ, писатель и мыслитель эпохи Просвещения, разработал прямую форму правления народа государством — прямую демократию |
| 28 июня 1873 - 5 ноября 1944  | Алексис Каррель                  | Французский хирург, биолог, лауреат Нобелевской премии 1912 года за разработку метода сшивания кровеносных сосудов |
| 29 июня                    | Международный день тропиков      | Тропики составляют порядка 40% всей территории мира |
| 30 июня                    | Международный день астероида     | Отмечается каждый год в честь Тунгусского метеорита, столкнувшегося с Землей в 1908 году, что привело к масштабной астероидной катастрофе |
