| Дата                         | Человек/Событие                  | Описание |
|------------------------------|----------------------------------|-------------|
| 1 марта 1810 - 26 января 1881 | Фредерик Шопен                  | Польский композитор и пианист, один из величайших мастеров фортепианной музыки |
| 2 марта 1824 - 8 сентября 1889 | Бедржих Сметана                 | Чешский композитор, основоположник чешской национальной композиторской школы |
| 3 марта 1847 - 2 августа 1922  | Александр Грэм Белл             | Шотландско-американский изобретатель, учёный и инженер, изобрел первый работающий телефон |
| 4 марта 1678 - 28 июля 1741    | Антонио Вивальди                | Итальянский композитор, скрипач, педагог, дирижер, автор более 500 концертов, в том числе «Времена года» |
| 5 марта 1871 - 28 апреля 1918  | Роза Люксембург                 | Немецкая революционерка, теоретик марксизма, деятель немецкого и международного рабочего движения |
| 6 марта 1475 - 18 февраля 1564 | Микеланджело Буонарроти        | Итальянский скульптор, живописец, архитектор и поэт, один из величайших мастеров искусства эпохи Возрождения |
| 7 марта 1765 - 16 мая 1825     | Жозеф Ньепс                    | Французский изобретатель, создатель первой в мире фотографии |
| 8 марта                      | Международный женский день      | День, отмечаемый ежегодно в разных странах в честь достижения женщин в политической, экономической и социальной сферах |
| 9 марта 1814 - 6 января 1892   | Тарас Шевченко                 | Украинский поэт, писатель, художник и мыслитель, классик украинской литературы |
| 10 марта 1920 - 28 апреля 1992 | Борис Виан                     | Французский писатель, поэт, певец, джазовый музыкант, переводчик, изобретатель, инженер |
| 11 марта 1818 - 18 декабря 1889 | Марианна Хансен                | Норвежская художница, одна из основательниц «христианского модерна» |
| 12 марта 1925 - 10 сентября 1997 | Леонард Нимой                 | Американский актёр, кинорежиссер, писатель, певец, фотограф, наибольшую известность получил за роль Спока в сериале «Звездный путь» |
| 13 марта 1781 - 12 января 1829 | Фридрих Шлегель                | Немецкий поэт, критик, философ, один из основоположников романтического направления в литературе |
| 14 марта 1879 - 18 апреля 1955 | Альберт Эйнштейн               | Немецкий и американский физик-теоретик, автор теории относительности, один из основоположников современной физики |
| 15 марта 1767 - 8 июня 1845    | Эндрю Джексон                  | 7-й президент США, генерал, участник войн против британцев и индейцев |
| 16 марта 1750 - 27 июня 1822   | Каролина Гершель               | Немецкая и английская астроном, первая женщина, открывшая комету |
| 17 марта 1834 - 4 ноября 1910  | Готтлиб Даймлер                | Немецкий инженер, промышленник, один из изобретателей первого автомобиля |
| 18 марта 1844 - 10 марта 1918  | Николай Римский-Корсаков       | Русский композитор, дирижер, педагог, участник «Могучей кучки» |
| 19 марта 1813 - 8 мая 1880     | Дэвид Ливингстон               | Шотландский исследователь Африки, миссионер, врач, автор книг о путешествиях по Африке |
| 20 марта 43 до н.э. - 17/18 марта 9 г. до н.э. | Овидий                       | Древнеримский поэт, автор «Метаморфоз», «Искусства любви» и других произведений |
| 21 марта                     | Всемирный день поэзии           | Отмечается ежегодно для поддержки языкового разнообразия и поэтического творчества |
| 22 марта 1599 - 9 августа 1660  | Антонис ван Дейк               | Фламандский живописец, один из ведущих портретистов XVII века |
| 23 марта 1910 - 24 августа 1995 | Акира Куросава                 | Японский кинорежиссер, сценарист, продюсер и монтажер, один из самых влиятельных режиссеров в истории кино |
| 24 марта 1874 - 11 марта 1932  | Гарри Гудини                   | Американский иллюзионист и фокусник, один из самых известных в мире мастеров побега |
| 25 марта 1881 - 19 июня 1971   | Бела Барток                    | Венгерский композитор, пианист и фольклорист, один из крупнейших композиторов XX века |
| 26 марта 1874 - 23 января 1950 | Роберт Фрост                   | Американский поэт, четырежды лауреат Пулитцеровской премии |
| 27 марта                     | Всемирный день театра           | Ежегодно отмечается с целью укрепления дружбы и сотрудничества людей театрального искусства, привлечения внимания широкой общественности к театру |
| 28 марта 1483 - 6 апреля 1520  | Рафаэль Санти                  | Итальянский живописец и архитектор Высокого Возрождения |
| 29 марта 1918 - 2 августа 2014 | Сэм Уолтон                     | Американский бизнесмен, основатель сети Walmart и Sam's Club |
| 30 марта 1853 - 29 июля 1890   | Винсент ван Гог                | Голландский живописец, один из самых известных и влиятельных художников в истории западного искусства |
| 31 марта 1809 - 2 июля 1875    | Николай Гоголь                 | Русский прозаик, драматург, поэт, критик, классик русской литературы, автор «Мертвых душ», «Ревизора» и других произведений |
