| Дата                        | Человек/Событие                  | Описание |
|-----------------------------|----------------------------------|-------------|
| 1 мая                       | Праздник труда                   | Праздник весны и труда, изначально носивший название День международной солидарности трудящихся |
| 1 мая 1917 - 3 декабря 2012 | Фёдор Савельевич Хитрук           | Режиссер-мультипликатор, создатель множества любимых персонажей мультфильмов, таких как Винни-Пух |
| 2 мая 1729 - 17 ноября 1796 | Екатерина II                      | Императрица и самодержица всероссийская, правившая в результате дворцового переворота |
| 3 мая                       | Всемирный день солнца            | Праздник, посвященный солнцу как мощному источнику космической энергии |
| 5 мая 1846 - 15 ноября 1916 | Генрих Иосифович Сенкевич         | Польский писатель, лауреат Нобелевской премии, известный своими романами |
| 9 мая 1924 - 12 июня 1997  | Булат Шалвович Окуджава           | Советский и российский поэт, прозаик, сценарист, бард, композитор |
| 9 мая                       | День Победы                       | Праздник победы Красной Армии и советского народа над нацистской Германией в Великой Отечественной войне |
| 10 мая 1864 - 10 августа 1946 | Леон Эрнест Гомон                | Французский продюсер и предприниматель, один из основоположников мирового кинематографа |
| 10 мая 1850 - 2 октября 1931 | Томас Джонстон Липтон             | Ирландский яхтсмен, предприниматель, чайный магнат |
| 11 мая 1904 - 23 января 1989 | Сальвадор Дали                    | Испанский живописец, график, скульптор, режиссёр и писатель, один из самых известных представителей сюрреализма |
| 11 мая 1720 - 22 февраля 1797 | Карл Фридрих Иероним фон Мюнхгаузен | Легендарный немецкий барон, знаменитый своими невероятными рассказами |
| 14 мая 1836 - 12 августа 1900 | Вильгельм Стейниц                | Австрийский шахматист, первый чемпион мира по шахматам |
| 15 мая 1859 - 19 апреля 1906  | Пьер Кюри                        | Французский ученый-физик, один из первых исследователей радиоактивности |
| 16 мая 1831 - 22 января 1900  | Дэвид Эдвард Хьюз                | Английский и американский физик и изобретатель, изобрел микрофон и индуктивные весы |
| 16 мая                      | Международный день света         | Праздник, учрежденный ЮНЕСКО в 2017 году, призывающий укреплять научное сотрудничество и использовать его потенциал для содействия миру и устойчивому развитию |
| 18 мая 1048 - 4 декабря 1131 | Омар Хайям                       | Персидский философ, математик, астроном и поэт, автор философских рубаи и создатель точного календаря |
| 20 мая 1956                | Григорий Чхартишвили              | Русский писатель, ученый-японист, литературовед, переводчик, общественный деятель, известный под псевдонимом Борис Акунин |
| 21 мая 1921 - 14 декабря 1989 | Андрей Дмитриевич Сахаров        | Советский физик-теоретик, академик АН СССР, один из создателей первой советской водородной бомбы, лауреат Нобелевской премии мира |
| 22 мая 1813 - 13 февраля 1883  | Вильгельм Рихард Вагнер          | Немецкий композитор и дирижёр, крупный реформатор оперы, оказавший значительное влияние на европейскую музыкальную культуру |
| 22 мая 1859 - 7 июля 1930    | Артур Конан Дойль                | Английский писатель ирландского происхождения, автор приключенческих, исторических и фантастических произведений |
| 24 мая 1905 - 21 февраля 1984 | Михаил Александрович Шолохов     | Русский советский писатель, журналист и киносценарист, автор произведений "Они сражались за Родину" и "Поднятая целина" |
| 29 мая 1453                  | Падение Константинополя          | Захват Константинополя турками-османами под предводительством султана Мехмеда II, ознаменовавший конец Византийской империи |
