| Дата                        | Человек/Событие                  | Описание |
|-----------------------------|----------------------------------|-------------|
| 1 сентября                  | День знаний                      | Традиционно в этот день в школах проходят торжественные линейки, классные часы, уроки знаний, мира, безопасности, мужества и так далее |
| 1 сентября                  | День перерыва на искусство       | Отмечается ежегодно в первую пятницу сентября. Цель дня — подчеркнуть важность искусства и творчества как социально приемлемого и продуктивного способа взять паузу |
| 3 сентября                  | День нефтяника                   | Отмечаемый в первое воскресенье сентября. Профессиональный праздник представителей газовых и нефтяных специальностей: геологов и буровиков, разработчиков и строителей |
| 3 сентября                  | День озера Байкал                | В целях усиления значимости этого уникального природного явления и привлечения широкой общественности к мероприятиям по сохранению Байкала в 1999 году был учрежден День Байкала |
| 4 сентября 1874 - 13 ноября 1948 | Александр Васильевич Вишневский | Русский и советский военный хирург, основатель династии врачей, академик, создатель знаменитой лечебной мази |
| 5 сентября 1929 - 3 июля 2004  | Андриян Григорьевич Николаев    | Советский космонавт, генерал-майор авиации, стал первым человеком, кто находился в космосе несколько суток подряд |
| 5 сентября                  | Международный день благотворительности | Цель дня – привлечение внимания общественности к деятельности благотворительных организаций и отдельных лиц в преодолении нищеты и острых гуманитарных кризисов |
| 7 сентября 1870 - 25 августа 1938 | Александр Иванович Куприн      | Русский писатель, наиболее известный своими романами: «Дуэль», «Яма», «Молох», «Олеся» |
| 8 сентября                  | Международный день грамотности  | Провозглашен ЮНЕСКО в 1966 году для привлечения внимания общественности к важности грамотности для личности и общества |
| 9 сентября 1828 - 16 ноября 1910  | Лев Николаевич Толстой         | Русский писатель, один из величайших классиков мировой литературы, автор «Войны и мира» и «Анны Карениной» |
| 13 сентября                 | Всемирный день программиста     | Празднуется на 256-й день года, в високосный год — 12 сентября. День программиста официально утверждён в России в 2009 году |
| 15 сентября 1789 - 14 сентября 1851 | Джеймс Фенимор Купер           | Американский писатель, автор «Последнего из могикан», «Зверобоя», «Следопыта» |
| 14 сентября 1847 - 31 марта 1894 | Павел Николаевич Яблочков      | Русский электротехник, изобретатель "электрической свечи" для уличного освещения |
| 15 сентября 1890 - 12 января 1976 | Агата Кристи                   | Английская писательница, автор детективной прозы |
| 16 сентября 1745 - 28 апреля 1813  | Михаил Илларионович Кутузов    | Русский полководец, главнокомандующий русской армией во время Отечественной войны 1812 года |
| 17 сентября 1832 - 24 декабря 1889 | Сергей Петрович Боткин        | Русский врач-терапевт, патолог, физиолог, создал учение об организме как о едином целом, классик русской медицины |
| 17 сентября 1857 - 19 сентября 1935 | Константин Эдуардович Циолковский | Русский и советский ученый-самоучка, основоположник современной космонавтики |
| 18 сентября 1819 - 11 февраля 1868 | Жан Бернар Леон Фуко           | Французский физик, создатель гироскопа и маятника Фуко |
| 19 сентября 1841            | Построена первая международная железная дорога | Железная дорога Страсбург-Базель, начавшая работу в этот день |
| 20 сентября 1778 - 25 января 1852 | Фаддей Фаддеевич Беллинсгаузен | Русский мореплаватель, руководитель первой антарктической экспедиции, во время которой был открыт шестой континент — Антарктида |
| 20 сентября 1934            | София Вилани Шиколоне           | Итальянская актриса и певица, обладательница почетных премий многих кинофестивалей |
| 21 сентября                 | Международный день мира         | Генеральной Ассамблеей ООН этот день провозглашён как день отказа от насилия и прекращения огня во всём мире |
| 22 сентября                 | Всемирный день защиты слонов    | Праздник, направленный на защиту самых крупных из сухопутных млекопитающих на планете |
| 22 сентября 1791 - 25 августа 1867 | Майкл Фарадей                 | Английский физик и химик, открыл электромагнитную индукцию, создатель генератора |
| 22 сентября 1900 - 15 декабря 1964 | Сергей Иванович Ожегов         | Советский лингвист, лексикограф, доктор филологических наук, профессор, автор «Словаря русского языка» |
| 22 сентября 1870 - 10 октября 1966 | Шарлотта Рейнгл Купер         | Британская теннисистка, первая чемпионка Олимпийских игр среди женщин |
| 23 сентября                 | День осеннего равноденствия     | Дата события уникальна для каждого года. Осеннее равноденствие представляет собой астрономическое явление, связанное с пересечением Солнцем небесного экватора |
| 24 сентября 1501 - 21 сентября 1576 | Джироламо Иероним Кардано     | Итальянский математик, философ, врач, изобретатель карданного вала |
| 25 сентября 1906 - 9 августа 1975  | Дмитрий Дмитриевич Шостакович | Советский композитор, пианист, педагог, творчество которого является одной из вершин музыкального искусства 20 века |
| 26 сентября                 | День рождения граммофона        | В этот день Эмиль Берлинер получил патент на изобретение, заменив в существующем фонографе валик на пластину |
| 27 сентября                 | Всемирный день туризма          | Цель дня — привлечь внимание международного сообщества к важности туризма и его социальному, культурному и экономическому значению |
| 28 сентября 551 г. до н.э. - 11 апреля 479 г. до н.э. | Конфуций                       | Китайский мыслитель и философ, его учение оказало глубокое влияние на жизнь Китая и Восточной Азии |
| 28 сентября 1783 - 2 апреля 1866 | Надежда Андреевна Дурова       | Русская кавалеристка, первая в русской армии женщина-офицер («кавалерист-девица») |
| 29 сентября 1571 - 18 июля 1610  | Микеланджело Меризи да Караваджо | Итальянский живописец, один из крупнейших мастеров барокко |
| 29 сентября 1703 - 30 мая 1770  | Франсуа Буше                  | Французский художник, яркий представитель художественной культуры рококо |
| 29 сентября 1904 - 22 декабря 1936 | Николай Алексеевич Островский  | Советский писатель, автор романов «Как закалялась сталь», «Рождённые бурей» |
| 30 сентября 1891 - 7 сентября 1956 | Отто Юльевич Шмидт            | Советский математик, географ, астроном, организатор книгоиздания и реформы системы образования, исследователь Памира и Севера |
| 30 сентября 1882 - 24 сентября 1945 | Йоханнес (Ханс) Вильгельм Гейгер | Немецкий физик, первым создавший детектор альфа-частиц и других ионизирующих излучений, изобрёл в 1908 году счётчик Гейгера |
